Unterkünfte in St. Gallen während dem Openair St. Gallen (25.06.-28.06.2026);;;
#;Name der Unterkunft;Preis pro Nacht (CHF);Gesamtpreis 3 Nächte (CHF)
1;Das Haus mit dem Schwein;66;198
2;Zentrales, gemütliches Zuhause in der Nähe von HSG/FH/Olma-Gegend/Krankenhaus;100.33;301
3;Elegante 3 Zimmer Residenz;219;657
4;kleines Juwel -mit Terrasse;150;450
5;Stadtstudio;144;432
6;Attika 2,5 Zimmer möbliert Nähe HSG Universität;194.67;584
7;heimelige Wohnung in Goldach;95.33;286
8;Es können zwei Personen darin schlafen.;46.33;139
9;Hotel Elite 24-Stunden-Self-Check-in;82;246
10;Gemütliche Unterkunft am ruhigen Stadtrand;112;336
11;spezielle Wohnung in Goldach;99;297
12;Studio-Apartment im Zentrum Rorschach;112.33;337
13;Genieße den Seeblick von der Dachterrasse;248.67;746
14;Premium Atmosphäre pur;447.67;1’343.00
15;Charmante Wohnung mit Blick zum Säntis;227;681
16;Schönes Zimmer in der Nähe des Stadtzentrums;42.67;128
17;Gelb, gelb, gelb, gelb!;205.33;616
18;Auszeit an der Sitter (Hunde erlaubt);148;444
19;Casa Siddhartha - R. Musil;63;189
20;TouchBed | Superior-Studio;243;729
21;Bella Vista;160;480
22;Schöne 2 1/2 Zimmer Dachwohnung;165;495
23;Appenzellerhaus mit viel Charme am Fusse des Kaien;52;156
24;Klara 1022 - Olma, Spital, Universität St. Gallen;631;1’893.00
25;1 Zi-Studio zentral, ruhig im Gertrud Schlössli;150;450
26;Nachhaltig Wohnen im 1. Stock, gratis Parkplatz!;347;1’041.00
27;Ganze Wohnung mitten in der Altstadt von Arbon;94.33;283
28;Modernes Studio nahe Bodensee | Ruhig & zentral;81.67;245
29;Casa Siddhartha - „H.Hesse“;55;165
30;Säntiszimmer;44;132
31;Casa Siddhartha - „Hemingway“;49.33;148
32;Zwei helle Zimmer, Küche und Bad;98;294
33;Herzige Dachwohnung in St. Georgen, St. Gallen;140.67;422
34;Haus mit Garten, ruhig, Top Aussicht, (Zimmer 1);86;258
35;BLIV: Exklusive Dachgeschosswohnung im Zentrum;647.33;1’942.00
36;Klara 1034- Olma, Spital, Universität St. Gallen;444.67;1’334.00
37;1er Zimmer ruhig 5 Min. bis ÖV;67;201
38;Maisonette am Bodensee | Parkplatz | Hoher Komfort;369;1’107.00
39;Ruhig, Gratis Parkplatz, Balkon & im 1. Stockwerk;388;1’164.00
40;Stilvolle Wohnung mit Balkon nahe Bodensee;204.67;614
41;Stadtwohnung mit Küche & gratis Parkplatz;427;1’281.00
42;Gemütliches Apartment am Schloss;120;360
43;BLIV: Design-Apartment mit Parkplatz, nahe Zentrum;684;2’052.00
44;Appenzeller Hausteil mit Garten;149.67;449
45;Moderne Stadtwohnung;198.33;595
46;Ruhige Lage am Bodensee;234.67;704
47;Ruhiges Tiny House in der Nähe des Waldes;158.33;475
48;Swissyurte (Rundhaus) Natur pur Ideal für 2 Pers.;76.67;230
49;Gemütliche Souterrainwohnung mit gratis Parkplatz;282.33;847
50;Haus MiLu Ferienwohnung;150;450
51;Designstudio 55 m² – St. Georgen-Straße;306.33;919
52;Dom Studio M ohne Reinigung;270;810
53;Nani’s Höckli im Appenzellerland;104;312
54;Gästezimmer im Grünen;75;225
55;TouchBed | Loft mit Loggia und Whirlpool;509;1’527.00
56;Ruhe für Musiker! B&B am Bodensee.;102.33;307
57;Wellnessoase;296;888
58;YELLOW INN 7 nähe Uni, Olma, Spital, FHS;281.67;845
59;Modernes Studio – Steigerstraße;233.67;701
60;Penthouse-Wohnung mit 250 m² Terrasse;303;909
61;Helle Wohnung in Rorschacherberg am Bodensee;90.33;271
62;TouchBed | Business Apartment Top Floor;256.33;769
63;Zimmer an der Fahrradroute am Bodensee;75;225
64;Schlossapartament;110;330
65;3 Doppelzimmer Apartment in 9320 Arbon 8 A;141.67;425
66;Das Rocky Docky-Haus gemütliche Wohnung in Andwil;114.33;343
67;2 Kronberg ruhige Lage, freundl. Zimmer, seenah;76;228
68;Klara 0002 - Olma, Spital, Universität St. Gallen;407;1’221.00
69;Ferienhaus Bijou-Sitterblick, Preis für 2 Personen;119.33;358
70;Studio mit Balkon in der Altstadt von St. Gallen;490.33;1’471.00
71;NTN HoSTEL 3;63.33;190
72;Ganze Wohnung nahe Messe & Zentrum;542.33;1’627.00
73;Lago Apartment in Rorschach 1 Min. zum See;212;636
74;Ganze Wohnung nahe Messe & Zentrum;542.33;1’627.00
75;Einzelbett in einem Schlafsaal mit 6 Betten;60.33;181
76;Klara 1033 - Olma, Spital, Universität St. Gallen;420.33;1’261.00
77;YELLOW INN B 28 nähe Uni, Olma, Spital, FHS;281.67;845
78;Superior Apartment mit Seesicht;195;585
79;Klara 1014 – Olma, Spital, Uni St. Gallen;448;1’344.00
80;Casa Siddhartha - Th. Mann;59.67;179
81;Ruhiger Ort auf dem Dorfhügel Wittenbach;38.33;115
82;Dom Studio K ohne Reinigung;260.67;782
83;Doppelzimmer in EFH nahe REHAKLINIK mit free WLAN;51.67;155
84;Zimmer für 4 Personen;134.33;403
85;Vintage Rustica 31 zur Olma 1 Min.;308.67;926
86;Zimmer für 3 Personen;127.33;382
87;Seeblick-Apartment mit Balkon;245.67;737
88;Schöne Wohnung 5 Minuten vom Bodensee entfernt;224;672
89;S-Cape Suite&Spa - Pure Auszeit;234.67;704
90;book2stay 2.5-Zimmer Apartment #8 Säntis bis zu 6;662.67;1’988.00
91;Haus mit Garten, ruhig, Top Aussicht (Zimmer 2);86;258
92;hübsche 2 1/2 Zimmer Dachwohnung;100;300
93;Zentrale 3 1/2-grosse Wohnung 2.OG;267.67;803
94;Gemütliches Zimmer im ruhigen Rorschacherberg Haus - 2;88.33;265
95;schöne Wohnung in Flawil - neu, naturnah, ruhig;198;594
96;Komfortables Zimmer/Bad & Frühstück;77.33;232
