OpenAir St. Gallen;;
Name;Price;Preis pro Nacht
Das Haus mit dem Schwein;198 CHF;66.00 CHF
Zentrales  gemütliches Zuhause in der Nähe von HSG/FH/Olma-Gegend/Krankenhaus;301 CHF;100.33 CHF
Elegante 3 Zimmer Residenz;657 CHF;219.00 CHF
kleines Juwel -mit Terrasse;487 CHF;162.33 CHF
Stadtstudio;432 CHF;144.00 CHF
"Attika 2;5 Zimmer möbliert Nähe HSG Universität";584 CHF;194.67 CHF
Historischer Charme in der Altstadt. Superior-DZ;316 CHF;105.33 CHF
Engelburg Zuhause mit Aussicht;154 CHF;51.33 CHF
Schönes Zimmer in der Nähe von HSG;222 CHF;74.00 CHF
Liebevolle kleine Wohnung in St. Gallen nähe Uni;216 CHF;72.00 CHF
"Moderne 80m²-Wohnung; Balkon & gratis Parkplatz";599 CHF;199.67 CHF
St. Gallen Zimmer Nähe Uni/Stadtzentrum Jugendstil;202 CHF;67.33 CHF
heimelige Wohnung in Goldach;286 CHF;95.33 CHF
Es können zwei Personen darin schlafen.;139 CHF;46.33 CHF
Hotel Elite 24-Stunden-Self-Check-in;246 CHF;82.00 CHF
Gemütliche Unterkunft am ruhigen Stadtrand;336 CHF;112.00 CHF
spezielle Wohnung in Goldach;297 CHF;99.00 CHF
Studio-Apartment im Zentrum Rorschach;337 CHF;112.33 CHF
Genieße den Seeblick von der Dachterrasse;746 CHF;248.67 CHF
Premium Atmosphäre pur;343 CHF;114.33 CHF
Charmante Wohnung mit Blick zum Säntis;681 CHF;227.00 CHF
Schönes Zimmer in der Nähe des Stadtzentrums;128 CHF;42.67 CHF
"Gelb; gelb; gelb; gelb!";616 CHF;205.33 CHF
Auszeit an der Sitter (Hunde erlaubt);444 CHF;148.00 CHF
Casa Siddhartha - R. Musil;189 CHF;63.00 CHF
TouchBed | Superior-Studio;729 CHF;243.00 CHF
Bella Vista;480 CHF;160.00 CHF
Schöne 2 1/2 Zimmer Dachwohnung;495 CHF;165.00 CHF
Appenzellerhaus mit viel Charme am Fusse des Kaien;156 CHF;52.00 CHF
"Klara 1022 - Olma; Spital; Universität St. Gallen";893 CHF;297.67 CHF
"1 Zi-Studio zentral; ruhig im Gertrud Schlössli";496 CHF;165.33 CHF
"Nachhaltig Wohnen im 1. Stock; gratis Parkplatz!";41 CHF;13.67 CHF
Ganze Wohnung mitten in der Altstadt von Arbon;283 CHF;94.33 CHF
Modernes Studio nahe Bodensee | Ruhig & zentral;245 CHF;81.67 CHF
Casa Siddhartha - „H.Hesse“;165 CHF;55.00 CHF
Säntiszimmer;132 CHF;44.00 CHF
Casa Siddhartha - „Hemingway“;148 CHF;49.33 CHF
"Zwei helle Zimmer; Küche und Bad";294 CHF;98.00 CHF
"Herzige Dachwohnung in St. Georgen; St. Gallen";422 CHF;140.67 CHF
"Haus mit Garten; ruhig; Top Aussicht; (Zimmer 1)";258 CHF;86.00 CHF
BLIV: Exklusive Dachgeschosswohnung im Zentrum;942 CHF;314.00 CHF
"Klara 1034- Olma; Spital; Universität St. Gallen";334 CHF;111.33 CHF
1er Zimmer ruhig 5 Min. bis ÖV;201 CHF;67.00 CHF
Maisonette am Bodensee | Parkplatz | Hoher Komfort;107 CHF;35.67 CHF
"Ruhig; Gratis Parkplatz; Balkon & im 1. Stockwerk";164 CHF;54.67 CHF
Stilvolle Wohnung mit Balkon nahe Bodensee;614 CHF;204.67 CHF
Stadtwohnung mit Küche & gratis Parkplatz;281 CHF;93.67 CHF
Gemütliches Apartment am Schloss;360 CHF;120.00 CHF
